Feature,Importance
V17,0.16421473816167217
V12,0.13263425226086017
V14,0.12942264878598697
V16,0.0775826702894776
V10,0.07354358793970207
V11,0.05131105006169477
V18,0.032571047958731156
V9,0.029369533705608884
V7,0.02697362933401548
V4,0.026591219782812026
V26,0.02056485200882547
V3,0.02043311252546019
V21,0.01825785546541604
V2,0.013850145081509049
V8,0.013461104187778307
V27,0.0134059120274354
V1,0.013176366190546086
V20,0.012939755261805028
V6,0.012899193431476937
V19,0.012791431712408452
Time,0.012395018585209626
Amount,0.012019152922573856
V13,0.011704921964120924
V15,0.01112400671123771
V5,0.011054373048270014
V22,0.010344822353734373
V24,0.00975357019234747
V28,0.009214479140210698
V25,0.008223870622328457
V23,0.008171678286744817
